path_idx,path_hops,relation_seq,weight_mean,weight_std,weight_min,weight_max
0,1,contraindication,0.02129808585574426,0.01342001536844473,0.007493092678487301,0.10828173905611038
0,1,drug_drug,0.015622671999919572,0.00079355279440556,0.013437364250421524,0.017405178397893906
0,1,drug_protein,0.014594239555299282,0.002255683230483095,0.011715981177985668,0.019585568457841873
0,1,indication,0.02556316740810871,,0.02556316740810871,0.02556316740810871
1,1,contraindication,0.023783507629890333,0.016481197188837934,0.005458120722323656,0.09864702075719833
1,1,drug_drug,0.015562121841040525,0.0007902882040663125,0.013263017870485783,0.017573876306414604
1,1,drug_protein,0.01591756215525998,0.012167423923409849,0.008851869031786919,0.04720906540751457
1,2,drug_protein | disease_protein,0.014991110656410456,0.003677701732379722,0.01239058282226324,0.01759163849055767
1,2,indication | contraindication,0.024857893586158752,,0.024857893586158752,0.024857893586158752
2,1,contraindication,0.023786940091745333,0.016683808396960965,0.002403557300567627,0.10639581829309464
2,1,drug_drug,0.01584894014749585,0.0008401475716395795,0.01260277908295393,0.017592165619134903
2,1,drug_protein,0.012213333820303282,0.0008393676267576561,0.011584938503801823,0.013166575692594051
2,1,indication,0.013195609984298548,0.008073047005758185,0.008232546970248222,0.022510888054966927
2,2,drug_protein | disease_protein,0.016402200562879443,0.0033205935167768615,0.013306564651429653,0.01945945806801319
2,2,drug_protein | drug_protein,0.012673163786530495,,0.012673163786530495,0.012673163786530495
2,2,indication | contraindication,0.024985158815979958,,0.024985158815979958,0.024985158815979958
3,1,contraindication,0.019477996231137735,0.007929687172617177,0.0037122564390301704,0.049065735191106796
3,1,drug_drug,0.015819919384306387,0.0010004823860942321,0.012542792595922947,0.017356954514980316
3,1,drug_protein,0.010297244414687157,,0.010297244414687157,0.010297244414687157
3,1,indication,0.01411406637635082,0.009117253197046956,0.006394221447408199,0.026185376569628716
3,2,drug_protein | disease_protein,0.013368594087660312,0.003010863423821545,0.010008170269429684,0.017018524929881096
3,2,drug_protein | drug_protein,0.012867837212979794,,0.012867837212979794,0.012867837212979794
3,2,indication | contraindication,0.024891531094908714,,0.024891531094908714,0.024891531094908714
4,1,contraindication,0.022085150297687844,0.018167313781522275,0.00600064592435956,0.09877096861600876
4,1,drug_drug,0.015792538786585302,0.0009294511161681155,0.012566559948027134,0.01731795258820057
4,1,drug_protein,0.02290440211072564,0.020901582992989498,0.008124751038849354,0.03768405318260193
4,1,indication,0.027060501277446747,,0.027060501277446747,0.027060501277446747
4,2,drug_drug | contraindication,0.025554359890520573,1.8478758893995103e-06,0.025553053244948387,0.025555666536092758
4,2,drug_protein | disease_protein,0.014391571166925132,0.003138348462546932,0.010822041891515255,0.020335728302598
4,2,drug_protein | protein_protein,0.015173940919339657,,0.015173940919339657,0.015173940919339657
4,2,indication | contraindication,0.02450762316584587,,0.02450762316584587,0.02450762316584587
5,1,contraindication,0.021848849281446918,0.015983288033669073,0.004361020401120186,0.08903118968009949
5,1,drug_drug,0.015789868561237045,0.0010293657570723787,0.010990122333168983,0.017497776076197624
5,1,drug_protein,0.009816673584282398,0.0019439456793130454,0.008442096412181854,0.011191250756382942
5,1,indication,0.028698701411485672,,0.028698701411485672,0.028698701411485672
5,2,drug_drug | contraindication,0.019025386311113834,1.378992199715814e-06,0.019024411216378212,0.019026361405849457
5,2,drug_protein | disease_protein,0.015349952271208167,0.004443646461662059,0.0110993767157197,0.024388182908296585
5,2,drug_protein | protein_protein,0.044693030416965485,,0.044693030416965485,0.044693030416965485
5,2,indication | contraindication,0.024815572425723076,,0.024815572425723076,0.024815572425723076
6,1,contraindication,0.02459919437902366,0.01845874872456972,0.006424756720662117,0.09162323921918869
6,1,drug_drug,0.015744550557186206,0.001028975069483612,0.011713026091456413,0.017645612359046936
6,1,drug_protein,0.00923047075048089,0.0024982616894728316,0.00746393296867609,0.01099700853228569
6,1,indication,0.027106623630970716,0.01750363952867944,0.014729681424796581,0.03948356583714485
6,2,drug_drug | drug_drug,0.01559966430068016,1.1300623756983462e-06,0.01559886522591114,0.01560046337544918
6,2,drug_protein | disease_protein,0.013936650822870433,0.0038338405844712577,0.010083667933940887,0.021333850920200348
6,2,drug_protein | protein_protein,0.018387576565146446,,0.018387576565146446,0.018387576565146446
6,2,indication | contraindication,0.024978898465633392,,0.024978898465633392,0.024978898465633392
7,1,contraindication,0.0204316715856916,0.013929150983228581,0.006973641458898783,0.08270769566297531
7,1,drug_drug,0.015636133000646767,0.0010824699054429244,0.01110521424561739,0.017360052093863487
7,1,drug_protein,0.02161216177046299,0.005904532673444378,0.015026723966002464,0.026433773338794708
7,1,indication,0.025530613493174314,0.017398383042879544,0.01322809886187315,0.03783312812447548
7,2,drug_drug | drug_drug,0.015650006011128426,1.1326965537302771e-06,0.015649205073714256,0.015650806948542595
