drug,canonical_smiles,x_index,x_id,x_name
Talc,[OH-].[OH-].[O-][Si]12O[Si]3(O[Si](O1)(O[Si](O2)(O3)[O-])[O-])[O-].[Mg+2].[Mg+2].[Mg+2],21650,DB09511,Talc
Bortezomib,B(C(CC(C)C)NC(=O)C(CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,15077,DB00188,Bortezomib
Ixazomib,B(C(CC(C)C)NC(=O)CNC(=O)C1=C(C=CC(=C1)Cl)Cl)(O)O,15240,DB09570,Ixazomib
Fumaric acid,C(=CC(=O)O)C(=O)O,16496,DB01677,Fumaric Acid
Hydroxyurea,C(=O)(N)NO,15134,DB01005,Hydroxyurea
Allantoin,C1(C(=O)NC(=O)N1)NC(=O)N,14520,DB11100,Allantoin
Vilanterol,C1=CC(=C(C(=C1)Cl)COCCOCCCCCCNCC(C2=CC(=C(C=C2)O)CO)O)Cl,15614,DB09082,Vilanterol
Triclosan,C1=CC(=C(C=C1Cl)O)OC2=C(C=C(C=C2)Cl)Cl,16459,DB08604,Triclosan
Folic acid,C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)NC(=N3)N,14678,DB00158,Folic acid
Resveratrol,C1=CC(=CC=C1C=CC2=CC(=CC(=C2)O)O)O,14072,DB02709,Resveratrol
Daidzin,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)OC4C(C(C(C(O4)CO)O)O)O)O,16466,DB02115,Daidzin
Pemetrexed,C1=CC(=CC=C1CCC2=CNC3=C2C(=O)NC(=N3)N)C(=O)NC(CCC(=O)O)C(=O)O,14802,DB00642,Pemetrexed
Econazole,C1=CC(=CC=C1COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl)Cl,14819,DB01127,Econazole
Arbutin,C1=CC(=CC=C1O)OC2C(C(C(C(O2)CO)O)O)O,14440,DB11217,Arbutin
Tucidinostat,C1=CC(=CN=C1)C=CC(=O)NCC2=CC=C(C=C2)C(=O)NC3=C(C=C(C=C3)F)N,20866,DB06334,Tucidinostat
Salicylic acid,C1=CC=C(C(=C1)C(=O)O)O,14262,DB00936,Salicylic acid
Ataluren,C1=CC=C(C(=C1)C2=NC(=NO2)C3=CC(=CC=C3)C(=O)O)F,14769,DB05016,Ataluren
Clotrimazole,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4,15084,DB00257,Clotrimazole
Oxaprozin,C1=CC=C(C=C1)C2=C(OC(=N2)CCC(=O)O)C3=CC=CC=C3,15984,DB00991,Oxaprozin
Belinostat,C1=CC=C(C=C1)NS(=O)(=O)C2=CC=CC(=C2)C=CC(=O)NO,15344,DB05015,Belinostat
Carbamazepine,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,14956,DB00564,Carbamazepine
Minodronic acid,C1=CC2=NC=C(N2C=C1)CC(O)(P(=O)(O)O)P(=O)(O)O,17736,DB06548,Minodronic acid
Gemcitabine,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)(F)F,15413,DB00441,Gemcitabine
Cytarabine,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O,14780,DB00987,Cytarabine
Uridine,C1=CN(C(=O)NC1=O)C2C(C(C(O2)CO)O)O,20037,DB02745,Uridine
Selinexor,C1=CN=C(C=N1)NNC(=O)C=CN2C=NC(=N2)C3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F,15670,DB11942,Selinexor
Furosemide,C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl,14217,DB00695,Furosemide
Adenosine,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N,14918,DB00640,Adenosine
Clofarabine,C1=NC2=C(N=C(N=C2N1C3C(C(C(O3)CO)O)F)Cl)N,15805,DB00631,Clofarabine
Adenine,C1=NC2=NC=NC(=C2N1)N,15854,DB00173,Adenine
Allopurinol,C1=NNC2=C1C(=O)NC=N2,14911,DB00437,Allopurinol
Trifluridine,C1C(C(OC1N2C=C(C(=O)NC2=O)C(F)(F)F)CO)O,14170,DB00432,Trifluridine
Brivudine,C1C(C(OC1N2C=C(C(=O)NC2=O)C=CBr)CO)O,20122,DB03312,Brivudine
Idoxuridine,C1C(C(OC1N2C=C(C(=O)NC2=O)I)CO)O,20439,DB00249,Idoxuridine
Decitabine,C1C(C(OC1N2C=NC(=NC2=O)N)CO)O,14713,DB01262,Decitabine
Larotrectinib,C1CC(N(C1)C2=NC3=C(C=NN3C=C2)NC(=O)N4CCC(C4)O)C5=C(C=CC(=C5)F)F,15745,DB14723,Larotrectinib
olaparib,C1CC1C(=O)N2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=CC=CC=C54)F,15036,DB09074,Olaparib
Filgotinib,C1CC1C(=O)NC2=NN3C(=N2)C=CC=C3C4=CC=C(C=C4)CN5CCS(=O)(=O)CC5,15768,DB14845,Filgotinib
Oxaliplatin,C1CCC(C(C1)[NH-])[NH-].C(=O)(C(=O)O)O.[Pt+2],14736,DB00526,Oxaliplatin
Cilostazol,C1CCC(CC1)N2C(=NN=N2)CCCCOC3=CC4=C(C=C3)NC(=O)CC4,14991,DB01166,Cilostazol
Cobimetinib,C1CCNC(C1)C2(CN(C2)C(=O)C3=C(C(=C(C=C3)F)F)NC4=C(C=C(C=C4)I)F)O,14765,DB05239,Cobimetinib
Penfluridol,C1CN(CCC1(C2=CC(=C(C=C2)Cl)C(F)(F)F)O)CCCC(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F,15721,DB13791,Penfluridol
Lonafarnib,C1CN(CCC1CC(=O)N2CCC(CC2)C3C4=C(CCC5=C3N=CC(=C5)Br)C=C(C=C4Br)Cl)C(=O)N,15017,DB06448,Lonafarnib
Pimozide,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F,14988,DB01100,Pimozide
Brimonidine,C1CN=C(N1)NC2=C(C3=NC=CN=C3C=C2)Br,15849,DB00484,Brimonidine
Hydroxyfasudil,C1CNCCN(C1)S(=O)(=O)C2=CC=CC3=C2C=CNC3=O,18307,DB04707,Hydroxyfasudil
Lipoic acid,C1CSSC1CCCCC(=O)O,15270,DB00166,Lipoic acid
Acetohexamide,CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC2CCCCC2,14166,DB00414,Acetohexamide
